tx,stim,Well,OD_450,OD_540,OD_570,PB_24,FR_24,corrected,loganswer,conc,below,above,Ro_conc,batch,pAldo,pPB,pFR
DMSO,stim,A7,0.229,0.043,0.042,295,NA,0.186,3.259667441815936,1795.9512373184589,FALSE,FALSE,0,A,137.347075938282,97.145993413831,NA
5,stim,B7,0.628,0.039,0.035,232,NA,0.589,1.9301344687976862,62.78343081184276,FALSE,FALSE,5,A,4.80142247751406,76.3995609220637,NA
10,stim,C7,0.713,0.048,0.042,175,NA,0.6649999999999999,1.7074211193488216,28.62576847276854,FALSE,FALSE,10,A,2.18918282107225,57.628979143798,NA
20,stim,D7,0.73,0.049,0.043,165,NA,0.6809999999999999,1.6570608252893233,23.04378928548902,FALSE,FALSE,20,A,1.76229566323053,54.3358946212953,NA
50,stim,E7,0.676,0.047,0.041,166,NA,0.629,1.815566282174753,43.04154282361827,FALSE,FALSE,50,A,3.29164285079532,54.6652030735455,NA
100,stim,F7,0.648,0.045,0.039,164,NA,0.603,1.8905210633009235,55.36117058704717,FALSE,FALSE,100,A,4.23379808017753,54.006586169045,NA
DMSO,stim,A8,0.269,0.045,0.043,300,NA,0.22400000000000003,3.081924885244071,1185.2482214419504,FALSE,FALSE,0,A,90.6429830016789,98.7925356750823,NA
5,stim,B8,0.672,0.047,0.041,212,NA,0.625,1.8272386170707475,44.82305563227209,FALSE,FALSE,5,A,3.42788573419372,69.8133918770582,NA
10,stim,C8,0.712,0.049,0.043,174,NA,0.6629999999999999,1.7136019537585008,29.356533910947697,FALSE,FALSE,10,A,2.24506880174092,57.2996706915477,NA
20,stim,D8,0.711,0.048,0.042,167,NA,0.6629999999999999,1.7136019537585008,29.356533910947697,FALSE,FALSE,20,A,2.24506880174092,54.9945115257958,NA
50,stim,E8,0.699,0.047,0.04,166,NA,0.6519999999999999,1.7471967049653183,33.51558946660149,FALSE,FALSE,50,A,2.56313652393968,54.6652030735455,NA
100,stim,F8,0.641,0.045,0.039,161,NA,0.596,1.9103818291758112,58.997816103324666,FALSE,FALSE,100,A,4.51191399864231,53.0186608122942,NA
DMSO,stim,A9,0.284,0.044,0.042,292,NA,0.24,3.013853935262459,1010.0573886272829,FALSE,FALSE,0,A,77.2450977371469,96.1580680570801,NA
5,stim,B9,0.682,0.057,0.052,207,NA,0.625,1.8272386170707475,44.82305563227209,FALSE,FALSE,5,A,3.42788573419372,68.1668496158068,NA
10,stim,C9,0.729,0.062,0.055,172,NA,0.667,1.7012164292540297,27.902568749555982,FALSE,FALSE,10,A,2.13387543563848,56.6410537870472,NA
20,stim,D9,0.736,0.043,0.037,165,NA,0.693,1.6180748271594558,19.145823845048533,FALSE,FALSE,20,A,1.46419505546996,54.3358946212953,NA
50,stim,E9,0.699,0.047,0.041,164,NA,0.6519999999999999,1.7471967049653183,33.51558946660149,FALSE,FALSE,50,A,2.56313652393968,54.006586169045,NA
100,stim,F9,0.67,0.047,0.041,163,NA,0.623,1.8330536709497567,45.728618945852105,FALSE,FALSE,100,A,3.49713954833564,53.6772777167947,NA
DMSO,stim,A10,0.302,0.045,0.042,279,NA,0.257,2.945107952348262,858.9111715559404,FALSE,FALSE,0,A,65.6860472893865,91.8770581778266,NA
5,stim,B10,0.644,0.048,0.043,210,NA,0.596,1.9103818291758112,58.997816103324666,FALSE,FALSE,5,A,4.51191399864231,69.1547749725576,NA
10,stim,C10,0.694,0.049,0.044,169,NA,0.6449999999999999,1.768252113472427,36.29112187337102,FALSE,FALSE,10,A,2.77539799981968,55.6531284302964,NA
20,stim,D10,0.715,0.043,0.038,168,NA,0.6719999999999999,1.6855961801422652,26.12701690542709,FALSE,FALSE,20,A,1.99808842266142,55.3238199780461,NA
50,stim,E10,0.708,0.046,0.04,164,NA,0.6619999999999999,1.7166836167266442,29.724785411012647,FALSE,FALSE,50,A,2.27323118482396,54.006586169045,NA
100,stim,F10,0.675,0.046,0.041,164,NA,0.629,1.815566282174753,43.04154282361827,FALSE,FALSE,100,A,3.29164285079532,54.006586169045,NA
DMSO,stim,A11,0.282,0.043,0.041,303,NA,0.239,3.0180079116329406,1019.979687157307,FALSE,FALSE,0,A,78.0039149373958,99.7804610318331,NA
5,stim,B11,0.631,0.049,0.044,220,NA,0.582,1.9497921182434872,66.72571239782384,FALSE,FALSE,5,A,5.10291220457831,72.4478594950604,NA
10,stim,C11,0.708,0.051,0.045,172,NA,0.6569999999999999,1.7320073616788147,31.595246255448032,FALSE,FALSE,10,A,2.41627645370544,56.6410537870472,NA
20,stim,D11,0.715,0.042,0.037,167,NA,0.6729999999999999,1.682452872231923,25.777371288588228,FALSE,FALSE,20,A,1.97134894216241,54.9945115257958,NA
50,stim,E11,0.679,0.049,0.044,163,NA,0.63,1.8126391051498527,42.602235754094735,FALSE,FALSE,50,A,3.25804642557825,53.6772777167947,NA
100,stim,F11,0.658,0.047,0.042,162,NA,0.611,1.8676728832971017,51.37813343411926,FALSE,FALSE,100,A,3.92919153243796,53.3479692645445,NA
DMSO,stim,A12,0.222,0.044,0.042,353,NA,0.178,3.3005547989978767,1975.4561047533268,FALSE,FALSE,0,A,151.07488109611,116.245883644347,NA
5,stim,B12,0.658,0.048,0.043,225,NA,0.61,1.8705383515376401,51.86624342060007,FALSE,FALSE,5,A,3.9665202070625,74.0944017563117,NA
10,stim,C12,0.667,0.049,0.043,167,NA,0.618,1.8475328901384778,48.036823138064094,FALSE,FALSE,10,A,3.67366165532901,54.9945115257958,NA
20,stim,D12,0.692,0.053,0.047,164,NA,0.6389999999999999,1.7861197540204168,38.75432063988059,FALSE,FALSE,20,A,2.96377346403329,54.006586169045,NA
50,stim,E12,0.677,0.049,0.043,165,NA,0.628,1.8184897705343772,43.483261644299745,FALSE,FALSE,50,A,3.32542371697189,54.3358946212953,NA
100,stim,F12,0.641,0.048,0.043,163,NA,0.593,1.9188597053978715,60.60154303776305,FALSE,FALSE,100,A,4.63456053852134,53.6772777167947,NA
DMSO,stim,A7,0.38,0.048,0.044,262,24,0.332,2.899911280015013,781.3317827017125,FALSE,FALSE,0,B,86.1786086054335,93.4046345811052,99.3103448275862
5,stim,B7,0.781,0.052,0.045,197,22,0.729,1.6808065572935478,35.117782413978155,FALSE,FALSE,5,B,3.87338860743667,70.2317290552585,91.03448275862068
10,stim,C7,0.785,0.056,0.05,125,18,0.729,1.6808065572935478,35.117782413978155,FALSE,FALSE,10,B,3.87338860743667,44.5632798573975,74.48275862068965
20,stim,D7,0.864,0.051,0.044,103,16,0.813,1.4239820943881822,13.710762167279954,FALSE,FALSE,20,B,1.51225693444918,36.7201426024955,66.20689655172413
50,stim,E7,0.834,0.052,0.045,103,15,0.7819999999999999,1.520411614851711,20.310311909447073,FALSE,FALSE,50,B,2.24016795355006,36.7201426024955,62.068965517241374
100,stim,F7,0.801,0.052,0.045,102,15,0.749,1.6207960677251618,28.92922214823505,FALSE,FALSE,100,B,3.19080852458316,36.3636363636364,62.068965517241374
DMSO,stim,A8,0.346,0.047,0.044,290,23,0.299,3.0145097017129276,1021.1399996916958,FALSE,FALSE,0,B,112.628752999773,103.386809269162,95.17241379310344
5,stim,B8,0.786,0.051,0.044,193,25,0.735,1.662857113959896,33.17631807067601,FALSE,FALSE,5,B,3.65925077320663,68.8057040998218,103.44827586206895
10,stim,C8,0.842,0.053,0.046,125,19,0.7889999999999999,1.498843394037009,18.704472381100146,FALSE,FALSE,10,B,2.06304855400635,44.5632798573975,78.62068965517241
20,stim,D8,0.873,0.053,0.045,106,16,0.82,1.4018446751475309,12.391585140078758,FALSE,FALSE,20,B,1.36675556969559,37.7896613190731,66.20689655172413
50,stim,E8,0.84,0.053,0.045,104,16,0.7869999999999999,1.5050169400551676,19.15599987713125,FALSE,FALSE,50,B,2.11285071515805,37.0766488413547,66.20689655172413
100,stim,F8,0.807,0.052,0.045,104,14,0.755,1.6026841456015741,27.223329059360772,FALSE,FALSE,100,B,3.00265351017882,37.0766488413547,57.93103448275862
