Treatment,conc_aldo,Ro_conc,batch
DMSO,1795.951237,0,A
5,62.78343081,5,A
10,28.62576847,10,A
20,23.04378929,20,A
50,43.04154282,50,A
100,55.36117059,100,A
DMSO,1185.248221,0,A
5,44.82305563,5,A
10,29.35653391,10,A
20,29.35653391,20,A
50,33.51558947,50,A
100,58.9978161,100,A
DMSO,1010.057389,0,A
5,44.82305563,5,A
10,27.90256875,10,A
20,19.14582385,20,A
50,33.51558947,50,A
100,45.72861895,100,A
DMSO,858.9111716,0,A
5,58.9978161,5,A
10,36.29112187,10,A
20,26.12701691,20,A
50,29.72478541,50,A
100,43.04154282,100,A
DMSO,1019.979687,0,A
5,66.7257124,5,A
10,31.59524626,10,A
20,25.77737129,20,A
50,42.60223575,50,A
100,51.37813343,100,A
DMSO,1975.456105,0,A
5,51.86624342,5,A
10,48.03682314,10,A
20,38.75432064,20,A
50,43.48326164,50,A
100,60.60154304,100,A
DMSO,781.3317827,0,B
5,35.11778241,5,B
10,35.11778241,10,B
20,13.71076217,20,B
50,20.31031191,50,B
100,28.92922215,100,B
DMSO,1021.14,0,B
5,33.17631807,5,B
10,18.70447238,10,B
20,12.39158514,20,B
50,19.15599988,50,B
100,27.22332906,100,B
DMSO,925.6265769,0,B
5,33.49466742,5,B
10,28.35324687,10,B
20,15.90543453,20,B
50,21.98947717,50,B
100,36.79452026,100,B
DMSO,1226.023456,0,B
5,29.22000793,5,B
10,23.23571839,10,B
20,17.16860993,20,B
50,19.38392932,50,B
100,33.17631807,100,B
DMSO,933.1960339,0,B
5,22.48319512,5,B
10,24.26183801,10,B
20,13.90402447,20,B
50,18.48085515,50,B
100,31.00470895,100,B
DMSO,552.5363935,0,B
5,28.64030603,5,B
10,27.22332906,10,B
20,20.5456231,20,B
50,32.54577871,50,B
100,45.6510631,100,B
DMSO,1935.698673,0,C
0.1,2018.096636,0.1,C
0.5,1738.603949,0.5,C
1,1184.568376,1,C
2.5,622.7323054,2.5,C
5,108.6177048,5,C
DMSO,1440.444451,0,C
0.1,1761.593037,0.1,C
0.5,1609.438495,0.5,C
1,878.0683469,1,C
2.5,563.6480574,2.5,C
5,91.09790021,5,C
DMSO,1761.593037,0,C
0.1,1629.973476,0.1,C
0.5,1550.044739,0.5,C
1,1133.961122,1,C
2.5,524.2493903,2.5,C
5,123.2181111,5,C
DMSO,1761.593037,0,C
0.1,1738.603949,0.1,C
0.5,989.3210123,0.5,C
1,1030.870508,1,C
2.5,459.3893468,2.5,C
5,130.0477246,5,C
DMSO,769.3954597,0,C
0.1,1423.277544,0.1,C
0.5,1252.52149,0.5,C
1,821.2067715,1,C
2.5,429.3493703,2.5,C
5,84.09307778,5,C
DMSO,979.3072963,0,C
0.1,1281.282117,0.1,C
0.5,1609.438495,0.5,C
1,829.0058943,1,C
2.5,416.8307129,2.5,C
5,109.2736992,5,C
