Name,Well,Read:450,Read:540,Read:570
DMSO_unstim,A1,0.636,0.05,0.044
5uM_unstim,B1,0.809,0.052,0.045
10uM_unstim,C1,0.817,0.052,0.045
20uM_unstim,D1,0.829,0.052,0.045
50uM_unstim,E1,0.814,0.053,0.045
100uM_unstim,F1,0.768,0.051,0.045
std1,G1,0.212,0.056,0.054
std1,H1,0.204,0.046,0.045
DMSO_unstim,A2,0.611,0.051,0.046
5uM_unstim,B2,0.826,0.052,0.044
10uM_unstim,C2,0.842,0.053,0.046
20uM_unstim,D2,0.869,0.053,0.045
50uM_unstim,E2,0.825,0.053,0.046
100uM_unstim,F2,0.772,0.051,0.044
std2,G2,0.326,0.047,0.045
std2,H2,0.325,0.046,0.043
DMSO_unstim,A3,0.634,0.05,0.045
5uM_unstim,B3,0.824,0.051,0.044
10uM_unstim,C3,0.86,0.053,0.045
20uM_unstim,D3,0.834,0.052,0.045
50uM_unstim,E3,0.865,0.053,0.046
100uM_unstim,F3,0.804,0.051,0.045
std3,G3,0.544,0.049,0.044
std3,H3,0.556,0.05,0.045
DMSO_unstim,A4,0.587,0.05,0.045
5uM_unstim,B4,0.807,0.051,0.044
10uM_unstim,C4,0.859,0.053,0.046
20uM_unstim,D4,0.883,0.054,0.046
50uM_unstim,E4,0.846,0.053,0.046
100uM_unstim,F4,0.775,0.056,0.05
std4,G4,0.767,0.053,0.046
std4,H4,0.74,0.05,0.044
DMSO_unstim,A5,0.62,0.05,0.045
5uM_unstim,B5,0.829,0.052,0.045
10uM_unstim,C5,0.851,0.052,0.045
20uM_unstim,D5,0.843,0.053,0.046
50uM_unstim,E5,0.813,0.052,0.045
100uM_unstim,F5,0.799,0.052,0.045
std5,G5,0.912,0.056,0.048
std5,H5,0.934,0.055,0.047
DMSO_unstim,A6,0.571,0.049,0.044
5uM_unstim,B6,0.808,0.051,0.045
10uM_unstim,C6,0.828,0.054,0.046
20uM_unstim,D6,0.879,0.054,0.046
50uM_unstim,E6,0.848,0.054,0.046
100uM_unstim,F6,0.818,0.052,0.045
std6,G6,1.092,0.057,0.048
std6,H6,1.079,0.056,0.046
DMSO_stim,A7,0.38,0.048,0.044
5uM_stim,B7,0.781,0.052,0.045
10uM_stim,C7,0.785,0.056,0.05
20uM_stim,D7,0.864,0.051,0.044
50uM_stim,E7,0.834,0.052,0.045
100uM_stim,F7,0.801,0.052,0.045
std7,G7,1.091,0.057,0.048
std7,H7,1.044,0.056,0.047
DMSO_stim,A8,0.346,0.047,0.044
5uM_stim,B8,0.786,0.051,0.044
10uM_stim,C8,0.842,0.053,0.046
20uM_stim,D8,0.873,0.053,0.045
50uM_stim,E8,0.84,0.053,0.045
100uM_stim,F8,0.807,0.052,0.045
nsb,G8,0.062,0.043,0.042
nsb,H8,0.059,0.043,0.042
DMSO_stim,A9,0.359,0.048,0.045
5uM_stim,B9,0.785,0.051,0.045
10uM_stim,C9,0.804,0.053,0.047
20uM_stim,D9,0.855,0.053,0.046
50uM_stim,E9,0.828,0.053,0.046
100uM_stim,F9,0.775,0.051,0.045
mediaOnly,G9,1,0.06,0.051
mediaOnly,H9,0.972,0.054,0.046
DMSO_stim,A10,0.323,0.046,0.043
5uM_stim,B10,0.8,0.052,0.045
10uM_stim,C10,0.818,0.048,0.042
20uM_stim,D10,0.848,0.052,0.045
50uM_stim,E10,0.839,0.053,0.045
100uM_stim,F10,0.787,0.052,0.045
mediaOnly,G10,0.988,0.056,0.047
mediaOnly,H10,0.932,0.054,0.046
DMSO_stim,A11,0.356,0.046,0.043
5uM_stim,B11,0.828,0.055,0.048
10uM_stim,C11,0.82,0.054,0.047
20uM_stim,D11,0.864,0.052,0.045
50uM_stim,E11,0.842,0.052,0.044
100uM_stim,F11,0.794,0.052,0.045
mediaOnly,G11,0.942,0.057,0.049
mediaOnly,H11,0.93,0.054,0.046
DMSO_stim,A12,0.423,0.047,0.043
5uM_stim,B12,0.801,0.051,0.044
10uM_stim,C12,0.807,0.052,0.045
20uM_stim,D12,0.833,0.052,0.045
50uM_stim,E12,0.789,0.052,0.045
100uM_stim,F12,0.752,0.052,0.046
mediaOnly,G12,0.962,0.055,0.046
mediaOnly,H12,0.992,0.054,0.045
