Sample,Well,Read:450,Read:540,Read:570,"Fluor:530/25,590/35"
DMSO_ND,A1,0.754,0.052,0.046,185
0.5uM_ND,B1,0.784,0.066,0.056,180
1uM_ND,C1,0.951,0.055,0.047,177
2.5uM_ND,D1,1.015,0.055,0.047,149
5uM_ND,E1,1.073,0.062,0.051,109
10uM_ND,F1,1.088,0.057,0.047,108
std1,G1,0.234,0.045,0.043,75
std1,H1,0.263,0.046,0.044,81
DMSO_ND,A2,0.714,0.051,0.045,199
0.5uM_ND,B2,0.842,0.053,0.046,197
1uM_ND,C2,0.911,0.054,0.046,172
2.5uM_ND,D2,1.044,0.056,0.047,134
5uM_ND,E2,1.052,0.056,0.047,126
10uM_ND,F2,1.141,0.057,0.048,99
std2,G2,0.422,0.048,0.044,73
std2,H2,0.44,0.049,0.045,76
DMSO_ND,A3,0.709,0.051,0.045,161
0.5uM_ND,B3,0.808,0.052,0.045,166
1uM_ND,C3,0.937,0.054,0.046,163
2.5uM_ND,D3,1.054,0.06,0.049,134
5uM_ND,E3,1.075,0.056,0.047,116
10uM_ND,F3,1.155,0.057,0.048,93
std3,G3,0.743,0.051,0.045,79
std3,H3,0.704,0.051,0.045,79
DMSO_ND,A4,0.719,0.051,0.045,162
0.5uM_ND,B4,0.789,0.055,0.048,156
1uM_ND,C4,0.866,0.053,0.046,161
2.5uM_ND,D4,1.033,0.057,0.047,126
5uM_ND,E4,1.058,0.056,0.047,113
10uM_ND,F4,1.085,0.059,0.049,95
std4,G4,1.099,0.056,0.046,74
std4,H4,1.033,0.056,0.047,71
DMSO_ND,A5,0.677,0.055,0.048,166
0.5uM_ND,B5,0.787,0.053,0.047,160
1uM_ND,C5,0.821,0.053,0.046,163
2.5uM_ND,D5,0.937,0.063,0.053,123
5uM_ND,E5,1.002,0.056,0.047,132
10uM_ND,F5,1.028,0.056,0.047,82
std5,G5,1.167,0.057,0.047,73
std5,H5,1.234,0.062,0.051,80
DMSO_ND,A6,0.713,0.053,0.047,154
0.5uM_ND,B6,0.849,0.054,0.047,154
1uM_ND,C6,0.88,0.054,0.047,161
2.5uM_ND,D6,1.091,0.058,0.052,152
5uM_ND,E6,1.085,0.057,0.047,102
10uM_ND,F6,1.063,0.06,0.052,90
std6,G6,1.392,0.061,0.049,76
std6,H6,1.272,0.06,0.048,77
DMSO_Dox,A7,0.762,0.052,0.045,178
0.5uM_Dox,B7,0.811,0.054,0.047,195
1uM_Dox,C7,0.945,0.054,0.046,155
2.5uM_Dox,D7,1.04,0.054,0.046,129
5uM_Dox,E7,1.057,0.055,0.046,106
10uM_Dox,F7,1.153,0.056,0.046,99
std7,G7,1.34,0.06,0.049,71
std7,H7,1.383,0.061,0.048,72
DMSO_Dox,A8,0.769,0.052,0.045,196
0.5uM_Dox,B8,0.824,0.053,0.046,142
1uM_Dox,C8,0.908,0.053,0.046,131
2.5uM_Dox,D8,1.025,0.055,0.047,147
5uM_Dox,E8,1.062,0.057,0.047,117
10uM_Dox,F8,1.039,0.059,0.05,94
nsb,G8,0.047,0.043,0.043,74
nsb,H8,0.048,0.043,0.043,70
DMSO_Dox,A9,0.774,0.052,0.045,192
0.5uM_Dox,B9,0.913,0.054,0.046,130
1uM_Dox,C9,0.986,0.055,0.046,138
2.5uM_Dox,D9,1.046,0.056,0.047,118
5uM_Dox,E9,1.122,0.058,0.048,126
10uM_Dox,F9,1.151,0.057,0.047,101
mediaOnly,G9,1.168,0.058,0.048,68
mediaOnly,H9,1.123,0.057,0.047,70
DMSO_Dox,A10,0.734,0.056,0.049,188
0.5uM_Dox,B10,0.889,0.053,0.045,169
1uM_Dox,C10,0.974,0.055,0.047,117
2.5uM_Dox,D10,1.055,0.057,0.047,117
5uM_Dox,E10,1.07,0.056,0.047,109
10uM_Dox,F10,1.127,0.057,0.047,101
mediaOnly,G10,1.178,0.062,0.052,67
mediaOnly,H10,1.145,0.059,0.049,68
DMSO_Dox,A11,0.738,0.057,0.051,195
0.5uM_Dox,B11,0.903,0.054,0.046,151
1uM_Dox,C11,0.952,0.054,0.046,137
2.5uM_Dox,D11,1.038,0.059,0.05,146
5uM_Dox,E11,1.063,0.056,0.047,127
10uM_Dox,F11,1.123,0.057,0.047,100
mediaOnly,G11,1.129,0.059,0.049,68
mediaOnly,H11,1.148,0.064,0.054,71
DMSO_Dox,A12,0.781,0.053,0.046,201
0.5uM_Dox,B12,0.867,0.054,0.047,183
1uM_Dox,C12,0.966,0.054,0.047,158
2.5uM_Dox,D12,1.028,0.056,0.047,163
5uM_Dox,E12,1.082,0.062,0.052,128
10uM_Dox,F12,1.099,0.059,0.049,110
mediaOnly,G12,1.192,0.059,0.049,69
mediaOnly,H12,1.141,0.059,0.049,69
