UniqueCount	AmbigCount
2	18
0	2
10	129
0	0
0	0
0	2
0	1
0	0
0	0
0	0
0	0
0	0
3	5
0	0
0	0
0	2
0	0
0	2
0	0
0	7
0	0
0	0
15	0
0	0
4	11
0	0
0	0
0	0
2	2
11	163
1	24
0	34
0	28
9	17
0	0
0	15
0	10
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	1
0	3
2	1
0	1
2	0
0	3
0	0
0	0
0	0
0	1
0	0
0	0
0	2
0	0
0	1
0	0
0	0
3	8
0	1
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	1
0	3
0	0
0	0
15506	6716
1286	21429
42381	72055
0	0
0	694
1	24
32406	19235
21	2305
0	0
0	0
0	0
16	52
0	1
0	0
0	0
0	6
1	5
0	4
0	3
0	2
0	2
2	2
0	0
0	0
0	0
0	2
0	6
1	6
0	3
0	3
0	2
0	3
0	4
1	0
3	0
1	0
0	0
1	0
0	0
0	0
151	13
0	1
0	1
0	1
0	2
0	1
0	15
0	6
0	0
0	1
2	0
1	1
1	3
8	1
3	8
0	1
0	3
0	1
0	0
0	0
6	6
0	1
2	1
0	0
0	1
1	0
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
1	1
0	0
0	0
0	0
0	0
1	252
107	645
17	564
0	0
0	189
2	10
11	16
0	18
0	0
1	4
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	3
8	9
0	2
0	0
2	19
0	19
0	0
0	0
0	0
1	0
0	0
0	0
0	1
0	7
0	0
0	8
0	1
0	8
0	0
0	3
0	2
0	0
0	0
0	54
0	54
0	62
0	64
6	49
0	58
0	58
0	5
0	28
1	15
0	11
0	13
0	3
1	1
0	3
0	3
0	1
0	2
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
23	626
0	507
0	547
23	235
2	172
1	172
0	95
211	0
0	0
0	0
0	0
0	0
0	0
1	0
1	222
0	224
0	230
0	122
0	124
0	114
0	101
3	16
0	81
0	64
0	15
0	18
0	32
0	20
0	13
0	0
0	0
0	4
3	11
3	0
0	1
0	1
0	3
0	1
0	3
0	3
0	0
0	3
0	0
0	0
0	120
3	109
1	87
0	72
0	1
0	11
0	15
0	1
6	10
0	6
1	3
0	2
0	0
0	0
6	19
0	0
1	1
0	9
1	11
0	133
0	234
0	234
0	182
0	134
0	254
0	58
0	198
0	180
7	149
4	84
1	156
0	227
2	176
0	140
0	188
0	194
0	59
0	25
0	15
0	144
0	31
0	43
0	37
1	20
0	20
0	62
0	0
0	5
0	66
1	29
0	27
0	50
0	42
0	42
0	1
0	0
0	25
0	64
0	46
4	30
0	32
0	29
0	17
1	13
0	14
0	12
0	1
0	1
0	0
0	0
2	0
1	21
67	32
1	11
8	0
1	149
2	152
0	93
0	27
0	29
0	10
0	5
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	557
49	543
5	543
11	534
6	15
0	13
0	0
6	217
1	234
1	173
9	256
5	393
0	272
0	189
2	309
0	346
0	108
0	138
0	33
1	30
0	20
1	25
0	63
10	4
0	13
3	0
0	5
0	16
1	80
10	92
0	6
0	4
0	75
5	93
0	35
117	433
1	234
6	359
4	12
4	150
1	71
0	0
30	49
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	10
0	11
0	0
3	9
0	0
0	2
1	178
5	175
0	24
14	108
9	70
11	307
0	303
0	302
0	302
3	2
0	29
0	16
0	0
0	0
3	0
90	373
2	301
1	73
51	26
17	36
0	0
100	0
148	0
0	46
0	54
0	43
0	53
7	50
0	51
0	48
0	8
0	4
0	51
0	2
0	42
0	8
0	2
0	3
0	52
1	30
0	2
0	45
1	41
1	0
1	0
0	41
1	4
0	1
0	0
0	4
0	15
0	19
0	3
0	2
0	2
0	2
0	0
0	1
0	2
0	1
0	0
0	1
0	1
0	0
2	0
28	292
0	279
0	234
0	245
0	252
0	217
0	217
0	217
1	54
7	0
1	21
0	410
0	412
3	132
4	32
0	0
0	0
0	2
0	157
0	63
0	107
0	132
0	106
0	151
0	137
0	137
0	146
0	126
3	6
1	9
0	11
0	1
0	20
0	1
3	5
2	21
0	16
2	14
0	0
0	0
4	0
11	129
0	1
0	1
0	0
0	0
0	19
0	2
0	20
0	563
0	562
1	488
2	289
1	7
0	95
0	48
0	19
2	76
0	20
3	17
0	60
2	76
1	41
1	42
1	18
0	0
14	2107
0	1865
20	2172
3	199
0	485
6	172
0	308
1	153
0	2
0	18
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	2
0	0
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	1
0	1
0	0
0	0
0	0
0	0
3	78
0	5
0	2
0	1
0	1
0	1
0	73
0	3
0	55
0	7
0	11
0	8
0	11
0	8
0	13
0	12
0	10
0	5
0	3
0	8
0	1
0	65
0	10
0	35
0	42
0	1
0	11
3	0
1	0
1	46
0	46
9	68
0	68
1	28
22	65
0	72
0	90
0	87
1	89
4	86
0	33
0	38
0	0
0	0
0	0
163	0
0	0
0	0
1	0
1	11
0	5
0	11
0	1
9	2
0	2
5	5
0	5
6	1
0	0
0	1
0	0
10	0
0	0
1	0
0	665
0	59
5	918
2	276
2	6
5	649
1	204
39	462
1	162
17	117
0	123
0	97
0	12
0	4
1	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	214
0	185
2	103
0	11
0	6
0	0
1	5
0	18
0	51
2	10
1	1
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	2
0	2
0	0
0	0
0	1
0	2
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	23
0	23
0	170
1	172
0	183
0	171
0	40
0	164
0	39
0	14
0	10
0	11
0	170
0	10
1	159
0	0
0	1
0	1
0	1
0	0
1	0
0	1
0	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	12
0	0
0	22
0	11
16	26
0	14
0	0
0	14
0	4
0	0
0	0
0	0
0	0
0	0
2	10
0	10
1	10
0	2
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
41	175
0	175
14	131
9	131
15	5
2	58
0	18
0	5
0	2
0	56
0	38
2	6
0	79
0	69
0	25
0	71
0	70
0	15
0	15
0	21
0	20
0	75
1	9
0	0
0	21
0	13
0	0
0	0
2	0
0	107
92	180
1	0
0	135
1	91
0	14
0	21
0	5
1	1
0	0
0	1
0	0
0	0
0	1
0	0
0	1
390	74
3	72
0	10
0	0
0	0
121	135
0	2
3	19
0	16
1	5
0	27
0	92
0	3
0	13
0	1
0	25
0	2
0	60
0	63
1	61
0	58
0	60
0	60
0	58
0	58
0	2
3	6
1	10
0	140
3	149
5	141
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	28
0	29
1	65
0	71
1	76
0	52
0	0
0	5
6	5
0	39
0	2
0	3
0	69
0	0
3	18
0	2
0	1
0	67
0	67
0	12
0	13
0	13
0	2
0	67
0	0
0	1
0	59
0	22
0	0
1	9
3	11
0	0
0	8
0	4
0	9
0	0
3	652
1071	2827
25	2814
4	2815
0	1332
2	1067
0	655
3	652
1	0
0	0
0	0
1	19
0	0
2	20
0	0
1	0
0	2
0	0
561	914
0	34
4	878
1	271
0	3
2	3
0	0
36	0
1	405
0	375
0	375
0	375
0	336
0	336
0	413
0	413
0	158
0	0
3	0
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	10
0	11
0	11
0	11
0	11
0	11
0	7
0	10
0	10
0	10
0	10
0	9
0	0
291	51
1	25
0	8
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
2	23
0	23
3	71
0	6
10	43
0	16
0	24
0	17
1	203
7	214
0	38
0	32
0	36
0	16
322	31
0	31
20	52
0	0
4	42
8	6
0	29
0	31
4	23
0	1
4	254
0	153
29	458
1	333
0	24
2	94
1	84
0	18
0	61
0	50
1	31
1	1
0	0
0	0
0	0
0	0
0	0
41	80
11	232
9	103
88	316
3	70
1	198
4	107
1	85
0	24
0	33
0	22
4	77
0	3
0	10
0	6
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
804	87
24	87
0	14
17	0
0	4
0	33
0	32
0	33
0	30
0	1
1	0
0	0
