Metabolite,KEGG,DM_0_1,DM_0_2,DM_0_3,Ro_0_1,Ro_0_2,Ro_0_3,DM_4_1,DM_4_2,DM_4_3,Ro_4_1,Ro_4_2,Ro_4_3,DM_8_1,DM_8_2,DM_8_3,Ro_8_1,Ro_8_2,Ro_8_3,DM_12_1,DM_12_2,DM_12_3,Ro_12_1,Ro_12_2,Ro_12_3,DM_16_1,DM_16_2,DM_16_3,Ro_16_1,Ro_16_2,Ro_16_3,DM_24_1,DM_24_2,DM_24_3,Ro_24_1,Ro_24_2,Ro_24_3
L-alanine,C00041,3331336,2128155,4036941,3500319,2471290,3635959,3329362,2634267,2788195,3272465,1805048,3761407,7379698,2965683,3352351,2655363,3135012,3079281,2622395,1921659,2412187,384823,1846961,1644700,3772058,3223003,2959723,2805294,1403809,1192757,2410049,2114815,2958686,2351622,1729011,2022726
L-arginine,C00062,2911888,3059300,3711597,3061312,3585217,4061912,1951055,2507230,3424810,3448611,3899551,3407989,3371285,3211920,2619064,2345749,2984953,2560977,3620914,3857215,3508002,2171880,4951314,4770944,4628882,4089701,3916967,5802334,5671180,5341906,5765890,5368420,5404480,5965056,5950876,4743060
L-asparagine,C00152,83774,99767,90500,110066,98264,118538,101661,113454,100632,133097,86453,156993,174461,116564,107096,111358,143943,125239,108836,72178,75021,14736,90252,95950,151970,117659,102574,156493,109347,84558,107967,74216,150553,143551,91774,120913
L-aspartate,C00049,13144130,13189920,15877420,11482910,13258160,15789290,14266920,16283300,18812050,14989040,14051620,14876560,19795740,13040540,15226570,8582141,11782540,12281180,18003840,12537030,14479690,3227295,9988132,12507410,16210600,16191760,15290040,10227670,9845228,8289150,13392720,12102560,16370780,11344600,10074270,10270860
L-cysteine,C00097,45028,85121,168934,1,172811,164821,135805,141852,151055,133309,152993,134493,189487,169725,134788,49104,138847,154998,1,133101,157940,36718,120794,183804,282720,234955,149894,308019,323091,198380,238804,257469,9402,298203,290756,273746
L-glutamate,C00025,8476671,6824990,10016720,8207316,7839342,9627241,10007750,8108182,9322327,9646245,6627442,9430805,15777820,8751252,10526230,7547456,7528044,10552750,7356086,6160146,6824768,1487441,5516304,6385018,10584980,9690496,8631906,10606540,7745030,6371756,7604670,6558756,10421190,10182150,7820476,8861457
L-glutamine,C00064,4884050,3134085,4632756,5056408,3356777,5051002,5059880,4842942,5611188,6657566,4844242,8197162,9035895,3143541,4544498,5348766,6112862,6724788,3543812,2680760,2973767,1033650,4124857,3835834,6419122,6888654,5541496,9685220,6078328,4332000,4794622,5045744,5517528,6447226,5289582,5734004
glycine,C00037,290342,106704,1,109450,189800,436176,175172,243534,104619,127184,214291,412043,383250,1,104049,107298,1,120796,125353,83122,261603,1,202965,208312,347443,1,315719,188574,103676,120422,151406,121868,261237,293138,1,279189
L-histidine,C00135,768186,530595,891041,738425,828746,945287,880238,1071656,980904,980886,919087,1165882,1272523,700941,786451,530181,868695,935837,655542,526572,639030,201750,664815,575743,997942,990091,1543864,1128907,966629,679355,997277,778375,1217977,1044737,731047,866433
L-leucine/isoleucine,C00123,20951260,22838960,28911310,20650280,24321610,25675580,26559630,28498340,27309610,31583000,27464310,36570370,42772720,25465700,22657350,18527350,23550570,24138320,23416730,19457960,21621560,8370068,25211670,23606950,32301120,28943760,35500040,36001360,33558900,24146120,33423180,30827140,38506110,37355750,32818980,30209960
L-lysine,C00047,35354,42844,48715,37881,51034,68558,36958,47661,44785,41155,58059,54630,60985,49027,36512,39695,39066,44557,51420,47604,39975,27957,55918,54787,53383,52801,48993,70562,71281,70002,61955,45175,76070,68127,89143,79736
L-methionine,C00073,1371293,1956265,2447546,1277786,2065997,2112172,2273708,2719004,2616971,3039675,2478484,3718494,3992719,2310370,1961178,1661354,2075139,2178894,1877645,1467002,1461516,417752,2071510,2043871,2831995,2508134,2899915,3369010,3184315,2140487,2982537,2458968,3450553,3429815,3189895,2770285
L-phenylalanine,C00079,421347,495613,480237,365551,479085,538479,491790,526305,425611,520177,545404,618674,556465,421145,409246,299840,388417,451929,510795,406433,422871,169373,463399,536989,556192,532031,693908,638558,577609,600981,769216,638192,541011,718552,820434,624508
