test_id	gene	SGCore_FPKM	Total_FPKM	Fold change	Localization	test_stat	p_value	q_value	significant	Number of RNA molecules in SGs per cell	Number of RNA molecules in cell	Fraction of RNA molecules in SGs	Translation efficiency	Transcript length	5'UTR length	3'UTR length	CDS length	GC content	Mito
ENSG00000186205	42795	4.136	4.329	0.955	Neither	0.109442	0.84215	0.899399	no	0.380	3.388	0.112	#N/A	7439	185	6238	1014	45.28	#N/A
ENSG00000117791	42796	3.047	3.085	0.988	Neither	0.0253967	0.96565	0.975594	no	0.280	2.414	0.116	#N/A	2134	306	297	1008	44.02	#N/A
ENSG00000099785	42796	1.729	5.641	0.306	depleted	4.0624	0.00005	0.000236361	yes	0.159	4.414	0.036	#N/A	1667	402	457	741	51.12	#N/A
ENSG00000173926	42797	2.439	2.721	0.897	Neither	0.313164	0.58485	0.714694	no	0.224	2.129	0.105	#N/A	4196	458	244	762	40.98	#N/A
ENSG00000144583	42798	16.860	8.329	2.024	enriched	-4.96916	0.00005	0.000236361	yes	1.548	6.517	0.237	#N/A	4447	1766	1446	1233	44.44	#N/A
ENSG00000198060	42799	10.077	19.838	0.508	Neither	2.53268	0.00005	0.000236361	yes	0.925	15.523	0.060	#N/A	3926	331	2756	837	40.44	#N/A
ENSG00000145495	42800	69.339	73.155	0.948	Neither	0.132195	0.776	0.855082	no	6.365	57.242	0.111	#N/A	9569	195	276	2733	39.32	#N/A
ENSG00000136536	42801	37.755	51.551	0.732	Neither	1.10058	0.04925	0.115789	no	3.466	40.337	0.086	#N/A	5922	154	607	2115	38.09	#N/A
ENSG00000165406	42802	15.852	10.088	1.571	Neither	-2.42185	0.00005	0.000236361	yes	1.455	7.894	0.184	#N/A	5638	671	732	1722	40.34	#N/A
ENSG00000139266	42803	5.439	3.052	1.782	Neither	-0.712443	0.1875	0.331102	no	0.499	2.388	0.209	#N/A	2982	446	#N/A	1041	55.5	#N/A
ENSG00000168385	42980	113.515	96.415	1.177	Neither	-0.219426	0.5366	0.675978	no	10.420	75.442	0.138	#N/A	3701	537	#N/A	1191	41.89	#N/A
ENSG00000100167	42981	2.761	2.580	1.070	Neither	-0.277563	0.62485	0.745403	no	0.253	2.018	0.126	#N/A	4649	311	#N/A	1077	51.53	#N/A
ENSG00000184702	42983	111.001	60.000	1.850	Neither	-2.11696	0.0004	0.0016294	yes	10.189	46.948	0.217	#N/A	4113	1517	362	1137	66.81	#N/A
