Significant	-LOG(P-value)'	Difference	Number	Checked	Protein-FDR-Confidence-Combined	Master	Accession	Gene-Name	Exp.-q-value-Combined	Sum-PEP-Score	Coverage	Num-Peptides	Num-PSMs	Num-Unique-Peptides	Num-AAs	MW	pI	Score-Mascot	Num-Peptides-Mascot	Num-Protein-Pathway-Groups	Num-Razor-Peptides	Num-Protein-Groups	Contaminant	Abundances-126	Abundances-127N	Abundances-127C	Abundances-128N	Abundances-128C	Abundances-129N	Abundances-129C	Abundances-130N	Abundances-130C	Abundances-131
	1.141831903	0.284819412	1250	FALSE	High	Master Protein	Q15019	SEPT2	NA	52.374	36	13	25	13	361	41.5	6.6	304	13	4	NA	1	TRUE	6.491853237	6.43462801	6.221103668	6.277984619	5.741466999	6.456149101	6.456149101	6.584962368	6.465974331	6.627898693
	1.555129259	0.392064285	6475	FALSE	High	Master Protein	Q9UH03	SEPT3	0.029	2.387	4	2	3	2	358	40.7	7.2	NA	2	1	NA	1	TRUE	7.422064781	7.443772316	6.946029186	6.835418701	6.839203835	7.443772316	7.41447401	7.67313242	7.472487926	7.442943573
	1.56749068	0.288362598	2251	FALSE	High	Master Protein	Q99719	SEPT5	NA	32.186	32	10	18	10	369	42.8	6.67	52	10	3	NA	1	TRUE	6.669593811	6.56833601	6.314696312	6.412781715	6.352264404	6.572889805	6.604367733	6.692092419	6.892391205	6.997744083
	0.468122048	0.103027916	504	FALSE	High	Master Protein	Q14141	SEPT6	NA	92.561	44	16	36	9	434	49.7	6.67	610	16	1	5	1	TRUE	6.87282896	6.902073383	6.627898693	6.797012806	6.380244732	6.741466999	6.741466999	6.881420135	6.867896557	6.862947464
	0.691991077	0.174123955	576	FALSE	High	Master Protein	Q16181	SEPT7	NA	85.886	40	18	53	18	437	50.6	8.63	521	18	3	NA	1	TRUE	7.824004173	7.669593811	7.453682423	7.721782684	7.20163393	7.596189976	7.619119644	7.845489979	7.801546574	7.878970623
	0.735274625	0.174620628	1302	FALSE	High	Master Protein	Q92599	SEPT8	NA	50.677	36	11	26	8	483	55.7	6.28	265	11	1	NA	1	TRUE	6.800899982	6.623515606	6.48381567	6.73470974	6.224966526	6.661065578	6.543805122	6.870364666	6.830356598	6.835418701
	0.940646574	0.135115337	357	FALSE	High	Master Protein	Q9UHD8	SEPT9	NA	110.348	53	32	66	32	586	65.4	8.97	497	32	1	NA	1	TRUE	7.508586884	7.456970215	7.508586884	7.576673508	7.167919636	7.507794857	7.584962368	7.639521599	7.52903986	7.632995129
	0.479804875	0.125398254	1770	FALSE	High	Master Protein	Q9P0V9	SEPT10	NA	40.073	23	7	13	6	454	52.6	6.8	136	7	NA	NA	1	TRUE	6.795714855	6.762880325	6.789207458	6.737416267	6.177917957	6.74953413	6.719730854	6.820178986	6.760221004	6.840463161
	0.152017083	0.036184025	1116	FALSE	High	Master Protein	Q9NVA2	SEPT11	NA	56.712	38	14	27	6	429	49.4	6.81	256	14	1	2	1	TRUE	5.963474274	5.954196453	5.827818871	5.958842754	5.587965012	5.770829201	5.768184185	5.995484352	5.889960289	6.04875946
	0.328936866	0.084388447	6698	FALSE	High	Master Protein	Q9NQ94	A1CF	0.051	1.915	7	3	5	3	594	65.2	8.47	NA	3	4	NA	1	TRUE	5.744161129	6.037821293	6.095924377	6.149746895	5.675251484	5.817623138	6.011227131	6.110613823	6.106431961	6.078951359
	1.646985802	0.233860493	637	FALSE	High	Master Protein	P01023	A2M	NA	82.258	20	25	70	21	1474	163.2	6.46	425	25	17	3	1	TRUE	7.997744083	7.928370476	7.742814541	8.033423424	7.625709057	8.122569084	8.044940948	8.080018044	8.196724892	8.053111076
	1.709088861	0.365678215	2129	FALSE	High	Master Protein	Q86V21	AACS	NA	33.991	17	11	19	11	672	75.1	6.24	201	11	6	NA	1	TRUE	7.328226089	7.158862114	6.701826096	6.839203835	6.804776192	7.4170084	7.271462917	7.357552052	7.20163393	7.413628101
	0.144070883	0.043139458	3233	FALSE	High	Master Protein	Q6PD74	AAGAB	NA	20.215	31	8	15	8	315	34.6	4.64	89	8	NA	NA	1	TRUE	6.251718998	6.161887646	6.022367954	6.305605888	5.69766283	6.147713661	6.008988857	6.110613823	6.141596317	6.246027946
	0.759735291	0.12356348	1282	FALSE	High	Master Protein	Q2M2I8	AAK1	NA	51.377	19	14	21	14	961	103.8	6.6	251	14	4	NA	1	TRUE	6.123086929	5.947198391	5.716990948	5.887525082	5.714245319	5.963474274	6.033422947	6.053111553	5.897240639	6.059614658
	0.2375436	-0.051208305	2602	FALSE	High	Master Protein	Q9H7C9	AAMDC	NA	27.267	73	9	38	9	122	13.3	8.46	133	9	NA	NA	1	TRUE	6.994353294	6.881420135	6.655351639	6.85049963	6.572889805	6.815063	6.756222725	6.839203835	6.602884293	6.685099125
	0.832218105	0.143171883	2999	FALSE	High	Master Protein	Q13685	AAMP	NA	22.586	18	7	8	7	434	46.7	4.42	90	7	1	NA	1	TRUE	6.888743401	6.776103973	6.642412663	6.820178986	6.397460938	6.920054913	6.844234943	6.842978954	6.790511608	6.842978954
	0.156661482	0.04779768	3239	FALSE	High	Master Protein	Q9Y312	AAR2	NA	20.179	14	4	12	4	384	43.4	5.96	114	4	NA	NA	1	TRUE	5.395748138	5.378511429	5.259272575	5.409390926	4.85299778	5.285402298	5.108524323	5.432959557	5.361066341	5.34695673
	1.396211552	0.209905148	47	FALSE	High	Master Protein	P49588	AARS	NA	250.473	52	42	180	42	968	106.7	5.53	1461	42	5	NA	1	TRUE	7.772149563	7.597680092	7.798309803	7.774786949	7.392317295	7.813139915	7.920650482	7.998308182	7.801546574	7.851124287
	0.440371761	0.121464157	1989	FALSE	High	Master Protein	Q5JTZ9	AARS2	NA	36.298	17	15	19	15	985	107.3	6.27	128	15	5	NA	1	TRUE	7.470862389	7.364572525	7.451210976	7.646018505	6.928370476	7.433794022	7.469234943	7.627169132	7.416164398	7.52199316
	1.55808964	0.252662182	2390	FALSE	High	Master Protein	Q9BTE6	AARSD1	NA	30.112	29	7	13	7	412	45.5	6.42	153	7	NA	NA	1	TRUE	5.822730064	5.865424156	5.584962368	5.605849743	5.449561596	6.033422947	5.760221004	5.85049963	5.916476727	6.031218529
	0.312707099	-0.103310013	4182	FALSE	High	Master Protein	Q9NRN7	AASDHPPT	NA	12.472	17	5	12	5	309	35.8	6.8	34	5	5	NA	1	TRUE	7.309248924	7.264911652	7.21529007	7.642412663	6.869131088	6.965784073	7.063934326	7.276124477	7.127220631	7.351380825
+	2.856650345	0.479972458	824	FALSE	High	Master Protein	Q9UDR5	AASS	NA	69.422	28	23	35	23	926	102.1	6.64	273	23	6	NA	1	TRUE	6.802193165	6.756222725	6.826548576	6.953032494	6.439623356	7.128252029	7.114783287	7.35667181	7.221103668	7.35667181
	0.314832256	0.066357136	3661	FALSE	High	Master Protein	P80404	ABAT	NA	16.279	19	9	14	9	500	56.4	7.96	56	9	14	NA	1	TRUE	6.892391205	6.711494923	6.55612278	6.590961456	6.507794857	6.741466999	6.716990948	6.830356598	6.498250961	6.803485394
	0.176440492	0.062661266	6594	FALSE	High	Master Protein	Q86UK0	ABCA12	0.041	2.096	3	5	5	5	2595	293	7.75	26	5	8	NA	1	TRUE	5.213347435	5.18189764	5.491853237	5.708738804	5.217230797	5.439623356	5.321928024	5.329123497	5.78398037	5.251718998
	0.931138572	-0.116272736	5893	FALSE	High	Master Protein	Q86UQ4	ABCA13	0.005	4.141	1	3	4	3	5058	575.8	6.46	37	3	4	NA	1	TRUE	6.67242527	6.578938484	6.52199316	6.553053379	6.3128829	6.383704185	6.417852402	6.444600582	6.318316936	6.49345541
	0	NaN	6913	FALSE	High	Master Protein	P78363	ABCA4	0.08	1.566	1	2	2	2	2273	255.8	6.29	NA	2	11	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	6970	FALSE	High	Master Protein	Q8WWZ7	ABCA5	0.088	1.494	2	3	4	3	1642	186.4	6.95	NA	3	4	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	4864	FALSE	High	Master Protein	P08183	ABCB1	0.001	8.501	4	5	15	3	1280	141.4	9	NA	5	15	NA	1	TRUE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
